datum,žák,předmět,známka
23.3.,Zvonilka,Psaní,2
17.4.,Bob,Zpěv,1
14.2.,Rusalka,Zpěv,1
14.3.,Jerry,Grafika,2
12.4.,Nemo,Programování,1
12.4.,Krakonoš,Zpěv,1
10.6.,Nemo,Programování,1
18.6.,Dlouhý,Grafika,1
8.4.,Jasoň,Grafika,2
5.5.,Arabela,Grafika,2
11.3.,Pažout,Zeměpis,4
22.5.,Bobek,Zpěv,3
9.6.,Pažout,Grafika,5
20.3.,Pažout,Zpěv,5
19.5.,Rusalka,Tělocvik,1
17.6.,Pažout,Zeměpis,3
14.6.,Horáček,Zeměpis,1
13.4.,Tuček,Čtení,3
13.4.,Šlajs,Čtení,3
22.6.,Arabela,Čtení,1
6.3.,Sněhurka,Grafika,1
13.5.,Gump,Psaní,1
6.2.,Rumcasj,Programování,1
27.4.,Karkulka,Grafika,1
11.6.,Popelka,Čtení,1
8.4.,Potter,Grafika,1
12.4.,Arabela,Zpěv,1
11.5.,Rusalka,Matematika,1
27.3.,Bystrozraký,Zpěv,1
23.3.,Sněhurka,Čtení,1
4.5.,Jasoň,Matematika,1
12.5.,Popelka,Programování,1
13.3.,Bystrozraký,Čtení,1
12.3.,Dlouhý,Zpěv,1
26.3.,Dlouhý,Grafika,2
11.4.,Nemo,Zpěv,1
16.5.,Rusalka,Zeměpis,1
11.2.,Gump,Matematika,3
14.6.,Rumcasj,Zeměpis,2
23.5.,Rumcasj,Čtení,1
6.4.,Zvonilka,Tělocvik,2
2.5.,Tuček,Matematika,1
2.5.,Šlajs,Matematika,1
10.2.,Jasoň,Matematika,2
4.3.,Rusalka,Psaní,1
7.2.,Zvonilka,Grafika,1
12.2.,Drsoň,Zpěv,3
4.3.,Mach,Matematika,1
6.6.,Bystrozraký,Zeměpis,2
10.2.,Fantomas,Programování,1
27.3.,Ferda,Tělocvik,1
12.2.,Potter,Čtení,1
20.5.,Drsoň,Zeměpis,2
4.2.,Krakonoš,Matematika,1
3.2.,Karkulka,Zeměpis,1
1.2.,Jerry,Zeměpis,2
4.2.,Drsoň,Tělocvik,2
21.5.,Nemo,Programování,1
3.4.,Bobek,Čtení,2
5.3.,Tom,Matematika,2
1.4.,Sněhurka,Zeměpis,1
5.2.,Sněhurka,Programování,1
16.2.,Tom,Tělocvik,2
22.2.,Mach,Matematika,1
18.4.,Ferda,Matematika,1
9.2.,Ferda,Čtení,1
8.3.,Zvonilka,Zeměpis,1
22.4.,Mach,Matematika,1
28.6.,Bob,Grafika,3
23.3.,Fantomas,Čtení,3
26.5.,Tuček,Zeměpis,3
26.5.,Šlajs,Zeměpis,3
25.2.,Dlouhý,Matematika,1
16.2.,Krátkozraký,Matematika,3
25.4.,Bystrozraký,Matematika,1
12.3.,Nemo,Tělocvik,3
1.6.,Gump,Tělocvik,1
11.5.,Arabela,Matematika,1
13.5.,Pažout,Zpěv,2
13.2.,Jasoň,Zpěv,1
10.4.,Krakonoš,Čtení,2
4.6.,Tuček,Čtení,2
4.6.,Šlajs,Čtení,2
20.6.,Gump,Tělocvik,1
11.2.,Ferda,Čtení,2
22.4.,Zvonilka,Programování,1
21.5.,Tuček,Grafika,2
21.5.,Šlajs,Grafika,2
9.6.,Bystrozraký,Matematika,3
28.5.,Sněhurka,Programování,1
15.6.,Jasoň,Grafika,2
14.3.,Fantomas,Programování,3
12.2.,Rusalka,Matematika,2
18.2.,Horáček,Tělocvik,1
7.6.,Pažout,Zpěv,5
26.3.,Bob,Tělocvik,2
2.2.,Karkulka,Zeměpis,1
2.6.,Sněhurka,Zpěv,1
20.5.,Ferda,Zpěv,2
20.4.,Bobek,Tělocvik,1
5.4.,Bob,Tělocvik,1
8.2.,Tuček,Zeměpis,1
8.2.,Šlajs,Zeměpis,1
11.2.,Bobek,Zpěv,2
27.6.,Rusalka,Čtení,1
23.4.,Horáček,Tělocvik,4
23.2.,Šebestová,Grafika,1
20.5.,Popelka,Čtení,1
27.5.,Jasoň,Tělocvik,1
6.4.,Mach,Zeměpis,2
20.3.,Jasoň,Programování,2
14.6.,Mach,Programování,1
26.4.,Jerry,Tělocvik,1
7.3.,Široký,Grafika,3
7.3.,Krátkozraký,Matematika,2
9.2.,Jasoň,Programování,2
12.6.,Gump,Tělocvik,4
28.2.,Rusalka,Matematika,1
13.2.,Široký,Grafika,1
2.6.,Krátkozraký,Čtení,2
12.2.,Krátkozraký,Programování,2
3.4.,Horáček,Matematika,1
12.5.,Drsoň,Zpěv,2
1.5.,Gump,Matematika,2
15.4.,Jasoň,Matematika,1
21.2.,Potter,Psaní,1
3.5.,Drsoň,Zeměpis,2
24.4.,Zvonilka,Grafika,1
12.3.,Karkulka,Zpěv,1
19.3.,Arabela,Zeměpis,1
10.4.,Bob,Čtení,1
18.6.,Tuček,Čtení,2
18.6.,Šlajs,Čtení,2
20.4.,Široký,Matematika,1
13.2.,Pažout,Tělocvik,3
21.4.,Nemo,Matematika,2
1.3.,Rusalka,Grafika,1
7.2.,Potter,Čtení,1
18.3.,Rusalka,Zeměpis,2
19.2.,Popelka,Zeměpis,1
3.5.,Rusalka,Zpěv,2
28.2.,Dlouhý,Čtení,2
28.2.,Popelka,Psaní,2
20.5.,Jasoň,Programování,1
15.4.,Ferda,Čtení,1
3.2.,Tuček,Zeměpis,4
3.2.,Šlajs,Zeměpis,4
11.3.,Nemo,Grafika,2
21.5.,Krakonoš,Zeměpis,1
16.3.,Arabela,Zeměpis,1
3.4.,Drsoň,Matematika,2
13.6.,Karkulka,Čtení,1
27.4.,Rumcasj,Programování,1
23.4.,Tuček,Zeměpis,4
23.4.,Šlajs,Zeměpis,4
16.2.,Zvonilka,Psaní,1
9.2.,Fantomas,Zpěv,1
8.3.,Pažout,Zpěv,3
5.3.,Gump,Zpěv,2
8.6.,Potter,Programování,1
12.4.,Potter,Psaní,1
15.4.,Rumcasj,Tělocvik,1
2.3.,Krátkozraký,Zpěv,1
15.6.,Popelka,Tělocvik,1
27.2.,Pažout,Čtení,2
21.5.,Krátkozraký,Matematika,1
13.5.,Zvonilka,Zeměpis,2
11.6.,Tom,Zeměpis,2
9.6.,Ferda,Matematika,1
10.6.,Pažout,Zeměpis,3
28.5.,Potter,Čtení,1
4.5.,Šebestová,Matematika,2
11.6.,Popelka,Programování,1
4.6.,Gump,Tělocvik,1
7.6.,Krátkozraký,Zeměpis,1
15.2.,Popelka,Grafika,1
26.3.,Dlouhý,Zeměpis,2
28.4.,Arabela,Zpěv,1
9.4.,Krátkozraký,Tělocvik,1
28.4.,Krakonoš,Psaní,1
28.5.,Fantomas,Matematika,2
13.5.,Široký,Zpěv,1
15.3.,Horáček,Čtení,5
8.2.,Bob,Grafika,1
23.3.,Rumcasj,Zeměpis,2
23.3.,Arabela,Grafika,1
23.3.,Nemo,Programování,1
8.2.,Krátkozraký,Matematika,1
28.6.,Popelka,Tělocvik,1
7.2.,Mach,Čtení,1
7.3.,Rumcasj,Zeměpis,1
18.4.,Dlouhý,Psaní,1
21.4.,Potter,Psaní,1
26.2.,Karkulka,Čtení,1
6.6.,Horáček,Čtení,3
19.4.,Sněhurka,Zeměpis,1
10.6.,Široký,Zeměpis,2
21.3.,Šebestová,Tělocvik,2
21.5.,Tuček,Programování,3
21.5.,Šlajs,Programování,3
20.5.,Arabela,Zpěv,1
26.6.,Fantomas,Tělocvik,4
4.4.,Drsoň,Zpěv,2
26.2.,Sněhurka,Programování,1
6.4.,Krátkozraký,Zeměpis,2
18.6.,Zvonilka,Tělocvik,2
11.4.,Dlouhý,Čtení,1
26.6.,Zvonilka,Čtení,1
12.4.,Široký,Zeměpis,2
20.4.,Bobek,Grafika,2
6.5.,Bystrozraký,Programování,1
4.6.,Krátkozraký,Zeměpis,3
26.6.,Drsoň,Čtení,3
16.3.,Mach,Matematika,2
16.4.,Nemo,Grafika,2
4.2.,Tom,Programování,1
2.5.,Drsoň,Tělocvik,1
2.2.,Široký,Grafika,1
25.3.,Bob,Čtení,3
15.2.,Jerry,Programování,1
26.2.,Popelka,Čtení,1
7.5.,Bystrozraký,Tělocvik,1
20.5.,Bobek,Psaní,1
3.5.,Jasoň,Zpěv,1
20.6.,Gump,Čtení,3
3.3.,Tom,Zeměpis,2
13.6.,Gump,Matematika,4
3.3.,Horáček,Grafika,5
7.4.,Bystrozraký,Tělocvik,1
22.4.,Bobek,Matematika,1
18.3.,Ferda,Zeměpis,2
11.3.,Jasoň,Psaní,1
17.5.,Sněhurka,Psaní,1
7.6.,Ferda,Matematika,1
20.5.,Bob,Programování,3
1.5.,Pažout,Tělocvik,3
4.3.,Rusalka,Čtení,1
7.5.,Krátkozraký,Programování,1
5.2.,Krakonoš,Matematika,1
23.6.,Bystrozraký,Grafika,2
24.6.,Rusalka,Matematika,2
11.6.,Arabela,Psaní,1
22.6.,Fantomas,Programování,1
3.5.,Gump,Tělocvik,3
6.2.,Ferda,Tělocvik,1
2.3.,Bob,Čtení,1
1.4.,Krakonoš,Čtení,1
7.2.,Fantomas,Tělocvik,2
9.6.,Tom,Tělocvik,1
26.2.,Zvonilka,Tělocvik,1
21.2.,Bystrozraký,Grafika,2
11.4.,Nemo,Programování,1
5.3.,Dlouhý,Zpěv,1
5.2.,Mach,Zpěv,1
21.5.,Drsoň,Čtení,3
4.3.,Jerry,Čtení,2
20.6.,Bobek,Tělocvik,2
8.2.,Krakonoš,Zeměpis,1
25.4.,Karkulka,Psaní,1
4.3.,Bystrozraký,Tělocvik,1
9.6.,Karkulka,Matematika,1
20.2.,Nemo,Čtení,1
13.3.,Široký,Psaní,2
5.4.,Tom,Matematika,1
5.3.,Pažout,Zeměpis,5
7.4.,Šebestová,Programování,1
28.5.,Ferda,Zpěv,1
22.5.,Karkulka,Čtení,1
14.2.,Tom,Matematika,2
1.3.,Bystrozraký,Psaní,1
5.3.,Šebestová,Matematika,2
5.5.,Krakonoš,Tělocvik,1
22.3.,Fantomas,Matematika,3
26.6.,Popelka,Grafika,1
23.2.,Zvonilka,Programování,2
4.2.,Pažout,Tělocvik,3
14.2.,Gump,Psaní,1
10.2.,Potter,Matematika,1
17.2.,Jasoň,Psaní,2
5.6.,Bob,Tělocvik,2
23.6.,Jasoň,Čtení,1
13.6.,Karkulka,Zeměpis,1
4.6.,Popelka,Čtení,1
21.3.,Tom,Zpěv,3
18.6.,Bystrozraký,Programování,1
27.5.,Dlouhý,Grafika,2
12.3.,Dlouhý,Tělocvik,3
25.3.,Rusalka,Programování,1
28.6.,Jerry,Zpěv,2
6.5.,Popelka,Matematika,1
23.6.,Tuček,Zpěv,1
23.6.,Šlajs,Zpěv,1
22.3.,Mach,Grafika,1
15.3.,Krakonoš,Čtení,2
7.2.,Zvonilka,Grafika,1
19.5.,Nemo,Programování,1
23.2.,Popelka,Matematika,1
24.3.,Gump,Programování,3
28.2.,Drsoň,Zpěv,1
5.5.,Rusalka,Grafika,2
8.2.,Drsoň,Zeměpis,2
25.3.,Pažout,Zpěv,3
5.4.,Široký,Matematika,1
27.3.,Rusalka,Programování,1
25.5.,Jasoň,Programování,1
23.2.,Jasoň,Grafika,2
8.3.,Fantomas,Tělocvik,1
4.3.,Rumcasj,Programování,3
28.4.,Ferda,Grafika,2
15.6.,Fantomas,Matematika,1
21.5.,Bobek,Programování,2
7.3.,Dlouhý,Programování,1
19.6.,Potter,Psaní,1
9.6.,Ferda,Programování,1
25.5.,Tom,Tělocvik,2
20.2.,Nemo,Psaní,1
19.6.,Popelka,Čtení,1
26.6.,Tom,Tělocvik,1
7.4.,Šebestová,Tělocvik,2
19.4.,Zvonilka,Čtení,1
1.5.,Horáček,Čtení,4
5.5.,Potter,Matematika,1
15.4.,Bob,Zpěv,3
11.6.,Šebestová,Zeměpis,1
10.3.,Gump,Matematika,1
10.6.,Dlouhý,Tělocvik,1
20.4.,Horáček,Zpěv,5
8.6.,Arabela,Matematika,1
24.6.,Široký,Čtení,1
19.6.,Jerry,Zeměpis,3
11.4.,Dlouhý,Zpěv,2
20.4.,Gump,Matematika,4
7.2.,Bob,Zeměpis,2
18.6.,Karkulka,Tělocvik,1
15.6.,Drsoň,Grafika,2
25.5.,Potter,Čtení,1
22.5.,Fantomas,Zeměpis,2
5.2.,Tuček,Čtení,1
5.2.,Šlajs,Čtení,1
18.5.,Popelka,Zpěv,1
9.6.,Rumcasj,Zpěv,3
4.2.,Zvonilka,Zpěv,1
26.5.,Pažout,Grafika,4
10.2.,Široký,Zeměpis,1
2.3.,Horáček,Matematika,5
19.5.,Bob,Grafika,3
28.4.,Fantomas,Matematika,1
12.3.,Ferda,Tělocvik,2
10.4.,Fantomas,Grafika,4
13.6.,Široký,Zeměpis,3
27.4.,Široký,Psaní,1
27.4.,Popelka,Čtení,1
19.2.,Drsoň,Programování,1
7.6.,Rumcasj,Zpěv,2
20.3.,Bystrozraký,Matematika,3
24.6.,Potter,Čtení,1
2.2.,Krakonoš,Tělocvik,1
8.4.,Drsoň,Programování,2
24.6.,Šebestová,Matematika,2
13.3.,Šebestová,Psaní,3
7.3.,Bob,Matematika,3
1.6.,Bob,Zeměpis,1
28.6.,Bobek,Matematika,1
8.2.,Bob,Programování,1
17.5.,Široký,Psaní,1
8.6.,Bystrozraký,Matematika,1
25.5.,Pažout,Čtení,5
7.6.,Horáček,Grafika,2
28.4.,Karkulka,Zeměpis,1
28.2.,Jasoň,Programování,1
3.2.,Jerry,Psaní,2
8.4.,Tuček,Tělocvik,2
8.4.,Šlajs,Tělocvik,2
6.5.,Bob,Psaní,2
23.2.,Pažout,Čtení,2
24.3.,Tuček,Psaní,4
24.3.,Šlajs,Psaní,4
19.2.,Horáček,Matematika,3
7.2.,Jasoň,Zpěv,1
11.4.,Tom,Tělocvik,2
28.5.,Drsoň,Programování,2
8.5.,Šebestová,Zeměpis,1
3.4.,Gump,Zpěv,1
18.4.,Sněhurka,Programování,1
25.2.,Tuček,Grafika,1
25.2.,Šlajs,Grafika,1
10.6.,Dlouhý,Zpěv,2
22.4.,Gump,Programování,1
19.5.,Nemo,Matematika,1
16.2.,Arabela,Čtení,2
8.2.,Popelka,Matematika,1
22.4.,Drsoň,Zeměpis,1
15.6.,Široký,Psaní,1
17.4.,Horáček,Zeměpis,4
24.5.,Rusalka,Grafika,1
9.6.,Dlouhý,Grafika,1
22.2.,Fantomas,Psaní,2
6.3.,Pažout,Psaní,5
2.5.,Arabela,Čtení,1
6.5.,Sněhurka,Zeměpis,1
2.3.,Široký,Psaní,1
20.5.,Horáček,Programování,1
28.3.,Gump,Psaní,3
1.2.,Rumcasj,Matematika,2
19.3.,Bobek,Psaní,2
20.4.,Krátkozraký,Tělocvik,1
26.4.,Krátkozraký,Grafika,1
3.3.,Rusalka,Čtení,1
3.3.,Ferda,Zpěv,1
13.4.,Potter,Tělocvik,1
17.4.,Dlouhý,Zeměpis,2
23.6.,Šebestová,Zpěv,2
14.6.,Jerry,Tělocvik,1
6.6.,Pažout,Matematika,2
5.2.,Dlouhý,Psaní,3
27.4.,Bobek,Tělocvik,3
27.4.,Zvonilka,Čtení,1
17.5.,Krátkozraký,Grafika,1
8.2.,Tuček,Psaní,1
8.2.,Šlajs,Psaní,1
14.4.,Popelka,Programování,1
13.4.,Jerry,Čtení,2
22.3.,Gump,Čtení,3
26.3.,Krakonoš,Tělocvik,2
17.4.,Tom,Psaní,3
21.3.,Drsoň,Čtení,2
2.5.,Široký,Matematika,1
23.5.,Tuček,Matematika,2
23.5.,Šlajs,Matematika,2
15.6.,Bobek,Psaní,1
9.6.,Pažout,Zeměpis,3
15.4.,Jerry,Matematika,2
23.3.,Fantomas,Zpěv,1
17.3.,Bobek,Čtení,1
9.6.,Potter,Zeměpis,1
15.6.,Rusalka,Matematika,2
9.4.,Bobek,Zpěv,2
24.4.,Tom,Čtení,1
10.4.,Bob,Zeměpis,2
17.4.,Drsoň,Zpěv,2
8.5.,Šebestová,Čtení,2
9.3.,Rusalka,Tělocvik,1
1.2.,Popelka,Psaní,1
2.4.,Popelka,Psaní,2
22.4.,Pažout,Matematika,3
2.4.,Fantomas,Matematika,2
11.4.,Zvonilka,Čtení,2
17.3.,Rusalka,Zeměpis,1
24.2.,Ferda,Grafika,1
9.3.,Jerry,Psaní,1
18.6.,Rumcasj,Čtení,1
12.2.,Jerry,Zeměpis,2
25.4.,Ferda,Zeměpis,1
3.3.,Rusalka,Programování,2
2.4.,Krátkozraký,Grafika,1
8.2.,Sněhurka,Tělocvik,1
18.3.,Popelka,Psaní,2
28.3.,Bobek,Psaní,1
3.4.,Pažout,Zpěv,4
14.3.,Krátkozraký,Čtení,2
1.6.,Tuček,Čtení,3
1.6.,Šlajs,Čtení,3
23.3.,Gump,Grafika,1
15.5.,Bobek,Grafika,2
10.2.,Horáček,Zpěv,5
5.4.,Rusalka,Zpěv,1
17.3.,Bobek,Tělocvik,3
8.2.,Ferda,Psaní,1
18.4.,Jasoň,Čtení,1
17.6.,Šebestová,Matematika,1
2.4.,Široký,Tělocvik,2
24.3.,Nemo,Matematika,1
27.5.,Jerry,Tělocvik,2
13.3.,Bobek,Zeměpis,1
28.6.,Bobek,Psaní,1
2.5.,Zvonilka,Matematika,1
24.5.,Bobek,Grafika,3
24.6.,Popelka,Matematika,1
16.3.,Zvonilka,Grafika,2
5.5.,Jerry,Tělocvik,3
5.2.,Jerry,Programování,2
17.4.,Bystrozraký,Zeměpis,1
16.6.,Tuček,Programování,3
16.6.,Šlajs,Programování,3
27.6.,Bobek,Grafika,1
10.3.,Mach,Matematika,1
13.6.,Bystrozraký,Zpěv,1
13.4.,Pažout,Zpěv,4
14.2.,Sněhurka,Programování,1
1.2.,Tuček,Programování,4
1.2.,Šlajs,Programování,4
21.4.,Bob,Grafika,3
21.3.,Drsoň,Zeměpis,2
7.4.,Široký,Čtení,2
6.6.,Popelka,Čtení,1
23.4.,Krakonoš,Programování,1
16.3.,Bob,Psaní,2
8.2.,Sněhurka,Zpěv,1
16.6.,Rumcasj,Tělocvik,3
22.5.,Dlouhý,Zpěv,1
14.6.,Krakonoš,Tělocvik,1
3.6.,Rumcasj,Matematika,4
24.5.,Ferda,Zeměpis,1
1.3.,Tom,Grafika,1
9.4.,Ferda,Zpěv,1
16.6.,Tom,Tělocvik,3
6.5.,Mach,Tělocvik,3
15.2.,Bobek,Zpěv,2
15.4.,Krakonoš,Tělocvik,1
18.3.,Tuček,Grafika,4
18.3.,Šlajs,Grafika,4
14.5.,Tom,Matematika,3
14.2.,Tuček,Čtení,1
14.2.,Šlajs,Čtení,1
18.6.,Potter,Tělocvik,1
12.2.,Pažout,Zpěv,3
18.4.,Krátkozraký,Čtení,1
21.5.,Rumcasj,Psaní,2
23.4.,Mach,Čtení,1
28.3.,Zvonilka,Tělocvik,1
24.3.,Mach,Programování,1
20.3.,Potter,Čtení,1
10.6.,Drsoň,Čtení,2
11.2.,Rumcasj,Tělocvik,2
28.6.,Gump,Čtení,2
16.3.,Šebestová,Grafika,1
20.4.,Bystrozraký,Zpěv,1
17.4.,Pažout,Zeměpis,5
24.3.,Krátkozraký,Zeměpis,1
1.3.,Fantomas,Grafika,2
2.4.,Rusalka,Psaní,1
3.3.,Rusalka,Programování,2
3.2.,Potter,Psaní,1
17.4.,Gump,Zpěv,1
7.2.,Bob,Grafika,2
28.6.,Gump,Programování,2
10.3.,Pažout,Zeměpis,4
9.6.,Dlouhý,Zpěv,3
3.2.,Ferda,Zpěv,1
23.2.,Široký,Zeměpis,3
23.5.,Potter,Psaní,1
6.2.,Dlouhý,Čtení,1
6.4.,Sněhurka,Tělocvik,1
8.3.,Jerry,Zpěv,1
14.3.,Nemo,Psaní,1
10.6.,Rumcasj,Zeměpis,1
27.3.,Tuček,Programování,2
27.3.,Šlajs,Programování,2
23.2.,Krakonoš,Tělocvik,1
3.4.,Tom,Matematika,1
8.6.,Tom,Programování,2
18.6.,Popelka,Zeměpis,1
2.4.,Arabela,Matematika,2
6.5.,Bob,Matematika,3
18.5.,Rumcasj,Grafika,2
11.4.,Krátkozraký,Tělocvik,3
11.6.,Krátkozraký,Zeměpis,1
10.2.,Potter,Zeměpis,1
10.4.,Dlouhý,Zpěv,1
24.2.,Krakonoš,Programování,1
19.2.,Drsoň,Grafika,3
12.2.,Bobek,Zpěv,1
28.4.,Šebestová,Psaní,1
16.4.,Šebestová,Programování,1
22.3.,Tom,Tělocvik,2
7.5.,Tom,Tělocvik,1
18.3.,Gump,Zpěv,1
25.5.,Popelka,Matematika,1
17.4.,Nemo,Tělocvik,2
12.2.,Potter,Matematika,1
7.2.,Tuček,Tělocvik,1
7.2.,Šlajs,Tělocvik,1
17.4.,Jerry,Zeměpis,1
23.3.,Krátkozraký,Čtení,2
16.6.,Potter,Psaní,1
13.3.,Jasoň,Grafika,1
5.4.,Ferda,Tělocvik,1
19.6.,Tuček,Zeměpis,1
19.6.,Šlajs,Zeměpis,1
1.2.,Rusalka,Psaní,1
19.3.,Karkulka,Matematika,1
25.2.,Fantomas,Matematika,3
19.3.,Krátkozraký,Psaní,1
25.2.,Tuček,Programování,2
25.2.,Šlajs,Programování,2
28.5.,Popelka,Zpěv,2
14.5.,Zvonilka,Programování,1
16.4.,Krátkozraký,Psaní,3
22.3.,Pažout,Zeměpis,5
11.3.,Fantomas,Grafika,1
21.5.,Zvonilka,Čtení,1
24.4.,Mach,Psaní,3
19.2.,Gump,Čtení,3
2.4.,Bystrozraký,Zeměpis,1
12.5.,Pažout,Grafika,3
27.6.,Dlouhý,Programování,3
20.4.,Bob,Programování,2
6.6.,Karkulka,Čtení,1
23.2.,Tuček,Grafika,2
23.2.,Šlajs,Grafika,2
28.3.,Ferda,Programování,1
21.4.,Bob,Programování,1
26.6.,Šebestová,Psaní,2
11.4.,Mach,Tělocvik,1
14.5.,Bob,Tělocvik,2
20.6.,Gump,Zeměpis,2
23.4.,Sněhurka,Zeměpis,1
7.5.,Dlouhý,Grafika,1
25.3.,Mach,Zeměpis,2
27.2.,Arabela,Zeměpis,1
4.6.,Bob,Tělocvik,1
16.3.,Jasoň,Zeměpis,1
25.6.,Ferda,Programování,1
18.3.,Nemo,Matematika,3
4.5.,Sněhurka,Zeměpis,1
18.3.,Tom,Psaní,2
1.3.,Krakonoš,Matematika,1
9.6.,Krakonoš,Čtení,2
28.5.,Jasoň,Matematika,1
11.5.,Popelka,Matematika,1
8.5.,Bob,Zpěv,2
8.3.,Jerry,Zpěv,2
24.6.,Krátkozraký,Grafika,1
2.5.,Krakonoš,Matematika,1
7.2.,Bobek,Zeměpis,1
2.6.,Drsoň,Matematika,2
4.2.,Popelka,Zpěv,2
8.4.,Zvonilka,Grafika,1
25.4.,Krátkozraký,Čtení,2
9.6.,Šebestová,Matematika,3
9.6.,Fantomas,Zeměpis,3
1.2.,Krakonoš,Matematika,1
7.4.,Fantomas,Psaní,4
28.3.,Potter,Tělocvik,1
28.4.,Potter,Programování,1
7.2.,Krátkozraký,Matematika,3
20.5.,Tuček,Psaní,2
20.5.,Šlajs,Psaní,2
20.5.,Mach,Tělocvik,1
7.6.,Fantomas,Zeměpis,3
18.2.,Jerry,Psaní,3
21.4.,Mach,Grafika,1
7.4.,Sněhurka,Zpěv,1
11.2.,Bobek,Zpěv,1
28.5.,Bob,Matematika,1
22.3.,Bystrozraký,Zeměpis,3
12.5.,Pažout,Grafika,4
26.3.,Bobek,Zpěv,2
10.5.,Široký,Tělocvik,1
2.4.,Rusalka,Čtení,2
24.2.,Potter,Psaní,1
21.6.,Krakonoš,Zeměpis,1
3.2.,Sněhurka,Tělocvik,1
7.6.,Bobek,Matematika,2
15.2.,Sněhurka,Psaní,1
6.3.,Fantomas,Programování,4
19.2.,Pažout,Programování,3
15.4.,Jasoň,Psaní,1
17.3.,Tom,Tělocvik,2
25.4.,Široký,Grafika,2
23.5.,Fantomas,Zpěv,3
26.2.,Široký,Tělocvik,3
12.4.,Široký,Programování,1
21.5.,Bystrozraký,Tělocvik,2
22.4.,Potter,Tělocvik,1
11.2.,Dlouhý,Čtení,2
15.3.,Potter,Čtení,1
5.6.,Jerry,Programování,2
18.2.,Široký,Grafika,1
3.4.,Popelka,Tělocvik,1
3.6.,Sněhurka,Matematika,1
27.4.,Rumcasj,Zpěv,2
13.6.,Popelka,Zeměpis,2
25.2.,Arabela,Zpěv,1
24.5.,Mach,Psaní,1
27.4.,Sněhurka,Tělocvik,1
15.6.,Ferda,Programování,2
11.2.,Bobek,Zpěv,2
7.2.,Krátkozraký,Zpěv,1
26.3.,Fantomas,Psaní,2
28.5.,Tuček,Grafika,1
28.5.,Šlajs,Grafika,1
16.5.,Jerry,Zeměpis,1
1.2.,Bob,Zpěv,2
18.2.,Zvonilka,Matematika,1
9.4.,Ferda,Psaní,1
19.5.,Karkulka,Tělocvik,1
9.2.,Bob,Zpěv,3
23.4.,Karkulka,Matematika,1
9.4.,Krakonoš,Tělocvik,1
16.2.,Rusalka,Grafika,1
23.2.,Pažout,Zpěv,4
21.6.,Krakonoš,Zpěv,1
22.5.,Bob,Grafika,1
1.4.,Šebestová,Zpěv,1
19.6.,Popelka,Zeměpis,2
14.6.,Tom,Matematika,1
4.4.,Nemo,Zpěv,1
20.3.,Mach,Zeměpis,2
23.3.,Fantomas,Psaní,1
6.2.,Arabela,Programování,1
3.6.,Drsoň,Grafika,2
22.2.,Drsoň,Programování,1
13.5.,Karkulka,Tělocvik,1
20.3.,Krakonoš,Psaní,1
23.3.,Potter,Matematika,1
26.6.,Potter,Zeměpis,1
22.5.,Dlouhý,Psaní,1
15.5.,Zvonilka,Zpěv,2
28.5.,Krakonoš,Grafika,1
23.6.,Šebestová,Programování,1
2.2.,Krátkozraký,Zeměpis,3
8.6.,Karkulka,Programování,1
1.3.,Šebestová,Tělocvik,1
8.2.,Tom,Zeměpis,2
17.2.,Potter,Matematika,1
11.4.,Popelka,Tělocvik,1
12.6.,Dlouhý,Čtení,1
10.6.,Gump,Psaní,1
8.2.,Popelka,Zpěv,1
16.5.,Bystrozraký,Tělocvik,1
14.3.,Zvonilka,Grafika,1
3.4.,Ferda,Matematika,2
3.5.,Rumcasj,Zeměpis,4
27.5.,Krakonoš,Zeměpis,1
24.6.,Popelka,Grafika,1
16.4.,Tuček,Grafika,2
16.4.,Šlajs,Grafika,2
5.2.,Horáček,Grafika,1
24.5.,Bystrozraký,Programování,2
21.3.,Bobek,Zpěv,3
4.5.,Krakonoš,Zeměpis,1
23.3.,Gump,Tělocvik,3
19.2.,Karkulka,Čtení,1
11.4.,Mach,Čtení,1
28.3.,Drsoň,Čtení,3
12.3.,Bobek,Zeměpis,1
14.5.,Popelka,Matematika,1
28.6.,Arabela,Programování,1
3.4.,Jasoň,Psaní,1
10.4.,Drsoň,Zpěv,3
8.4.,Drsoň,Čtení,1
20.5.,Jerry,Grafika,2
5.4.,Sněhurka,Programování,1
12.6.,Bystrozraký,Psaní,1
4.4.,Jerry,Zpěv,2
6.2.,Gump,Psaní,3
22.4.,Pažout,Grafika,2
12.2.,Horáček,Programování,2
15.2.,Zvonilka,Matematika,1
7.5.,Gump,Čtení,3
13.4.,Široký,Čtení,1
22.4.,Tom,Zeměpis,3
5.6.,Horáček,Zpěv,3
25.6.,Nemo,Psaní,2
6.3.,Gump,Tělocvik,3
5.2.,Bobek,Matematika,2
21.3.,Dlouhý,Tělocvik,1
14.2.,Gump,Grafika,1
16.4.,Mach,Zpěv,1
10.5.,Krakonoš,Zeměpis,2
27.6.,Potter,Tělocvik,1
5.6.,Bob,Psaní,3
28.3.,Sněhurka,Zpěv,1
19.6.,Krátkozraký,Programování,1
23.3.,Drsoň,Čtení,1
4.4.,Rumcasj,Zeměpis,1
14.3.,Bystrozraký,Zeměpis,1
22.3.,Sněhurka,Zeměpis,1
21.6.,Rumcasj,Zpěv,3
23.4.,Mach,Grafika,1
